customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
68,151,1,844.00,2,1,3,6,Lost
69,276,5,1619.00,1,5,4,10,At Risk
70,9,2,1444.00,5,2,4,11,Potential Loyalists
72,282,2,63.00,1,2,1,4,Lost
74,362,1,536.00,1,1,2,4,Lost
75,185,3,1650.00,2,3,4,9,At Risk
76,64,4,3330.00,4,4,5,13,Loyal
78,7,3,696.00,5,3,2,10,Loyal
81,11,4,1625.00,5,4,4,13,Loyal
82,290,1,330.00,1,1,1,3,Lost
84,142,3,1265.00,2,3,4,9,At Risk
85,293,1,210.00,1,1,1,3,Lost
86,4,3,2039.00,5,3,5,13,Loyal
88,253,1,592.00,1,1,2,4,Lost
89,97,2,299.00,3,2,1,6,Potential Loyalists
90,89,4,1371.00,3,4,4,11,Loyal
91,308,1,653.00,1,1,2,4,Lost
92,102,3,1256.00,3,3,4,10,Loyal
93,146,2,986.00,2,2,3,7,Lost
94,50,2,977.00,4,2,3,9,Potential Loyalists
95,61,3,266.00,4,3,1,8,Loyal
96,211,3,2200.00,2,3,5,10,At Risk
97,75,2,562.00,3,2,2,7,Potential Loyalists
99,31,7,2524.00,5,5,5,15,Champions
100,252,3,1251.00,1,3,4,8,At Risk
101,3,4,2385.00,5,4,5,14,Loyal
103,61,2,584.00,4,2,2,8,Potential Loyalists
104,35,4,1268.00,4,4,4,12,Loyal
105,7,1,178.00,5,1,1,7,Potential Loyalists
106,57,2,1172.00,4,2,3,9,Potential Loyalists
107,141,2,1401.00,2,2,4,8,Lost
108,98,2,1414.00,3,2,4,9,Potential Loyalists
109,191,2,508.00,2,2,2,6,Lost
110,289,1,495.00,1,1,2,4,Lost
111,82,3,1959.00,3,3,5,11,Loyal
112,96,2,1722.00,3,2,4,9,Potential Loyalists
113,56,6,2960.00,4,5,5,14,Loyal
114,327,1,243.00,1,1,1,3,Lost
115,206,1,766.00,2,1,3,6,Lost
116,100,1,41.00,3,1,1,5,Potential Loyalists
117,139,2,1439.00,2,2,4,8,Lost
118,115,5,2787.00,2,5,5,12,At Risk
119,65,2,227.00,3,2,1,6,Potential Loyalists
120,304,1,490.00,1,1,2,4,Lost
121,236,1,202.00,1,1,1,3,Lost
122,139,3,1931.00,2,3,5,10,At Risk
123,101,1,366.00,3,1,1,5,Potential Loyalists
125,264,1,270.00,1,1,1,3,Lost
126,43,6,2960.00,4,5,5,14,Loyal
127,73,4,2189.00,3,4,5,12,Loyal
128,193,2,1040.00,2,2,3,7,Lost
129,110,3,1174.00,2,3,3,8,At Risk
130,54,4,2949.00,4,4,5,13,Loyal
131,111,3,1852.00,2,3,4,9,At Risk
132,205,1,667.00,2,1,2,5,Lost
133,59,5,1477.00,4,5,4,13,Loyal
134,56,4,1613.00,4,4,4,12,Loyal
135,246,2,1641.00,1,2,4,7,Lost
136,29,3,2216.00,5,3,5,13,Loyal
137,21,3,864.00,5,3,3,11,Loyal
138,191,1,622.00,2,1,2,5,Lost
139,102,1,1196.00,3,1,3,7,Potential Loyalists
140,65,2,828.00,3,2,3,8,Potential Loyalists
141,316,1,12.00,1,1,1,3,Lost
142,33,2,1308.00,5,2,4,11,Potential Loyalists
143,138,3,2129.00,2,3,5,10,At Risk
144,60,7,3420.00,4,5,5,14,Loyal
145,34,5,1981.00,4,5,5,14,Loyal
146,365,1,206.00,1,1,1,3,Lost
147,129,4,1306.00,2,4,4,10,At Risk
148,91,4,2018.00,3,4,5,12,Loyal
149,16,2,372.00,5,2,1,8,Potential Loyalists
150,47,3,885.00,4,3,3,10,Loyal
151,13,3,1188.00,5,3,3,11,Loyal
152,1,6,4309.00,5,5,5,15,Champions
153,249,2,1756.00,1,2,4,7,Lost
154,135,4,2379.00,2,4,5,11,At Risk
155,173,1,530.00,2,1,2,5,Lost
156,245,2,690.00,1,2,2,5,Lost
157,167,3,1594.00,2,3,4,9,At Risk
158,65,4,896.00,3,4,3,10,Loyal
159,84,1,759.00,3,1,2,6,Potential Loyalists
160,2,4,2712.00,5,4,5,14,Loyal
161,78,2,615.00,3,2,2,7,Potential Loyalists
162,36,2,656.00,4,2,2,8,Potential Loyalists
163,229,2,603.00,1,2,2,5,Lost
164,289,3,2039.00,1,3,5,9,At Risk
165,49,4,2676.00,4,4,5,13,Loyal
166,193,1,756.00,2,1,2,5,Lost
167,117,1,108.00,2,1,1,4,Lost
168,55,3,1579.00,4,3,4,11,Loyal
170,78,4,1121.00,3,4,3,10,Loyal
171,91,1,631.00,3,1,2,6,Potential Loyalists
172,29,3,2353.00,5,3,5,13,Loyal
173,22,4,1557.00,5,4,4,13,Loyal
174,81,1,613.00,3,1,2,6,Potential Loyalists
175,45,1,240.00,4,1,1,6,Potential Loyalists
176,214,1,651.00,2,1,2,5,Lost
177,77,2,692.00,3,2,2,7,Potential Loyalists
178,8,2,946.00,5,2,3,10,Potential Loyalists
179,97,5,2172.00,3,5,5,13,Loyal
180,32,5,2263.00,5,5,5,15,Champions
181,64,1,324.00,4,1,1,6,Potential Loyalists
182,4,2,338.00,5,2,1,8,Potential Loyalists
184,70,2,1579.00,3,2,4,9,Potential Loyalists
185,38,1,152.00,4,1,1,6,Potential Loyalists
186,294,1,529.00,1,1,2,4,Lost
187,214,5,1391.00,1,5,4,10,At Risk
188,121,2,396.00,2,2,1,5,Lost
189,34,3,1020.00,4,3,3,10,Loyal
190,254,4,2226.00,1,4,5,10,At Risk
191,143,1,488.00,2,1,1,4,Lost
192,55,4,2576.00,4,4,5,13,Loyal
194,282,2,491.00,1,2,2,5,Lost
195,342,1,177.00,1,1,1,3,Lost
196,99,3,1411.00,3,3,4,10,Loyal
197,206,2,1265.00,2,2,4,8,Lost
198,22,4,1112.00,5,4,3,12,Loyal
199,265,1,140.00,1,1,1,3,Lost
200,85,1,552.00,3,1,2,6,Potential Loyalists
201,77,3,1230.00,3,3,4,10,Loyal
202,15,2,582.00,5,2,2,9,Potential Loyalists
203,60,3,702.00,4,3,2,9,Loyal
205,102,2,1556.00,3,2,4,9,Potential Loyalists
206,42,2,713.00,4,2,2,8,Potential Loyalists
207,352,2,1335.00,1,2,4,7,Lost
208,178,3,2104.00,2,3,5,10,At Risk
210,42,2,448.00,4,2,1,7,Potential Loyalists
211,347,1,110.00,1,1,1,3,Lost
212,72,2,801.00,3,2,3,8,Potential Loyalists
213,81,3,870.00,3,3,3,9,Loyal
214,325,3,1493.00,1,3,4,8,At Risk
215,214,4,1015.00,1,4,3,8,At Risk
216,251,2,1001.00,1,2,3,6,Lost
217,10,4,1181.00,5,4,3,12,Loyal
218,55,4,1347.00,4,4,4,12,Loyal
220,90,5,2796.00,3,5,5,13,Loyal
221,232,1,515.00,1,1,2,4,Lost
222,48,2,716.00,4,2,2,8,Potential Loyalists
223,115,4,1211.00,2,4,3,9,At Risk
224,22,3,988.00,5,3,3,11,Loyal
225,320,1,372.00,1,1,1,3,Lost
226,244,1,258.00,1,1,1,3,Lost
227,71,3,827.00,3,3,3,9,Loyal
228,38,2,762.00,4,2,2,8,Potential Loyalists
229,205,5,1770.00,2,5,4,11,At Risk
230,327,1,349.00,1,1,1,3,Lost
231,50,5,2807.00,4,5,5,14,Loyal
233,3,6,2552.00,5,5,5,15,Champions
235,287,1,343.00,1,1,1,3,Lost
236,38,3,2000.00,4,3,5,12,Loyal
237,10,3,877.00,5,3,3,11,Loyal
238,21,3,1865.00,5,3,5,13,Loyal
239,141,4,1418.00,2,4,4,10,At Risk
240,341,1,826.00,1,1,3,5,Lost
241,40,1,489.00,4,1,1,6,Potential Loyalists
242,233,3,762.00,1,3,3,7,At Risk
243,121,3,1645.00,2,3,4,9,At Risk
244,43,2,1260.00,4,2,4,10,Potential Loyalists
246,43,2,396.00,4,2,1,7,Potential Loyalists
247,168,5,1493.00,2,5,4,11,At Risk
249,10,3,1772.00,5,3,4,12,Loyal
250,19,2,1215.00,5,2,4,11,Potential Loyalists
251,194,2,965.00,2,2,3,7,Lost
252,48,5,1496.00,4,5,4,13,Loyal
253,100,3,1204.00,3,3,3,9,Loyal
254,63,3,749.00,4,3,2,9,Loyal
255,237,1,346.00,1,1,1,3,Lost
256,127,2,787.00,2,2,3,7,Lost
257,73,3,1001.00,3,3,3,9,Loyal
258,234,2,1318.00,1,2,4,7,Lost
259,158,5,2231.00,2,5,5,12,At Risk
260,38,2,447.00,4,2,1,7,Potential Loyalists
261,86,3,1805.00,3,3,4,10,Loyal
262,54,2,1004.00,4,2,3,9,Potential Loyalists
263,354,1,744.00,1,1,2,4,Lost
264,75,4,2310.00,3,4,5,12,Loyal
265,269,2,755.00,1,2,2,5,Lost
267,133,2,543.00,2,2,2,6,Lost
268,12,2,1959.00,5,2,5,12,Potential Loyalists
270,62,1,332.00,4,1,1,6,Potential Loyalists
271,17,3,1618.00,5,3,4,12,Loyal
272,294,1,259.00,1,1,1,3,Lost
273,171,4,1632.00,2,4,4,10,At Risk
274,300,1,261.00,1,1,1,3,Lost
277,7,6,2939.00,5,5,5,15,Champions
278,326,1,256.00,1,1,1,3,Lost
279,1,2,686.00,5,2,2,9,Potential Loyalists
280,63,2,772.00,4,2,3,9,Potential Loyalists
282,210,2,772.00,2,2,3,7,Lost
283,183,2,980.00,2,2,3,7,Lost
284,24,2,1194.00,5,2,3,10,Potential Loyalists
285,115,4,2064.00,2,4,5,11,At Risk
286,40,6,2125.00,4,5,5,14,Loyal
288,42,3,1596.00,4,3,4,11,Loyal
289,2,4,2073.00,5,4,5,14,Loyal
290,99,2,1344.00,3,2,4,9,Potential Loyalists
291,5,2,377.00,5,2,1,8,Potential Loyalists
292,23,3,1227.00,5,3,4,12,Loyal
293,32,3,1146.00,5,3,3,11,Loyal
294,149,4,708.00,2,4,2,8,At Risk
296,219,2,1076.00,1,2,3,6,Lost
297,222,1,789.00,1,1,3,5,Lost
298,55,1,330.00,4,1,1,6,Potential Loyalists
299,22,2,470.00,5,2,1,8,Potential Loyalists
300,327,1,745.00,1,1,2,4,Lost
