customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
201,77,3,1230,3,3,4,10,Loyal
202,15,2,582,5,2,2,9,Potential Loyalists
203,60,3,702,4,3,2,9,Loyal
205,102,2,1556,3,2,4,9,Potential Loyalists
206,42,2,713,4,2,2,8,Potential Loyalists
207,352,2,1335,1,2,4,7,Lost
208,178,3,2104,2,3,5,10,At Risk
210,42,2,448,4,2,1,7,Potential Loyalists
211,347,1,110,1,1,1,3,Lost
212,72,2,801,3,2,3,8,Potential Loyalists
213,81,3,870,3,3,3,9,Loyal
214,325,3,1493,1,3,4,8,At Risk
215,214,4,1015,2,4,3,9,At Risk
216,251,2,1001,1,2,3,6,Lost
217,10,4,1181,5,4,3,12,Loyal
218,55,4,1347,4,4,4,12,Loyal
220,90,5,2796,3,5,5,13,Loyal
221,232,1,515,1,1,2,4,Lost
222,48,2,716,4,2,2,8,Potential Loyalists
223,115,4,1211,2,4,4,10,At Risk
224,22,3,988,5,3,3,11,Loyal
225,320,1,372,1,1,1,3,Lost
226,244,1,258,1,1,1,3,Lost
227,71,3,827,3,3,3,9,Loyal
228,38,2,762,4,2,3,9,Potential Loyalists
229,205,5,1770,2,5,4,11,At Risk
230,327,1,349,1,1,1,3,Lost
231,50,5,2807,4,5,5,14,Loyal
233,3,6,2552,5,5,5,15,Champions
235,287,1,343,1,1,1,3,Lost
236,38,3,2000,4,3,5,12,Loyal
237,10,3,877,5,3,3,11,Loyal
238,21,3,1865,5,3,5,13,Loyal
239,141,4,1418,2,4,4,10,At Risk
240,341,1,826,1,1,3,5,Lost
241,40,1,489,4,1,1,6,Potential Loyalists
242,233,3,762,1,3,3,7,At Risk
243,121,3,1645,2,3,4,9,At Risk
244,43,2,1260,4,2,4,10,Potential Loyalists
246,43,2,396,4,2,1,7,Potential Loyalists
247,168,5,1493,2,5,4,11,At Risk
249,10,3,1772,5,3,4,12,Loyal
250,19,2,1215,5,2,4,11,Potential Loyalists
251,194,2,965,2,2,3,7,Lost
252,48,5,1496,4,5,4,13,Loyal
253,100,3,1204,3,3,3,9,Loyal
254,63,3,749,4,3,2,9,Loyal
255,237,1,346,1,1,1,3,Lost
256,127,2,787,2,2,3,7,Lost
257,73,3,1001,3,3,3,9,Loyal
258,234,2,1318,1,2,4,7,Lost
259,158,5,2231,2,5,5,12,At Risk
260,38,2,447,4,2,1,7,Potential Loyalists
261,86,3,1805,3,3,4,10,Loyal
262,54,2,1004,4,2,3,9,Potential Loyalists
263,354,1,744,1,1,2,4,Lost
264,75,4,2310,3,4,5,12,Loyal
265,269,2,755,1,2,2,5,Lost
267,133,2,543,2,2,2,6,Lost
268,12,2,1959,5,2,5,12,Potential Loyalists
270,62,1,332,4,1,1,6,Potential Loyalists
271,17,3,1618,5,3,4,12,Loyal
272,294,1,259,1,1,1,3,Lost
273,171,4,1632,2,4,4,10,At Risk
274,300,1,261,1,1,1,3,Lost
277,7,6,2939,5,5,5,15,Champions
278,326,1,256,1,1,1,3,Lost
279,1,2,686,5,2,2,9,Potential Loyalists
280,63,2,772,4,2,3,9,Potential Loyalists
282,210,2,772,2,2,3,7,Lost
283,183,2,980,2,2,3,7,Lost
284,24,2,1194,5,2,3,10,Potential Loyalists
285,115,4,2064,2,4,5,11,At Risk
286,40,6,2125,4,5,5,14,Loyal
288,42,3,1596,4,3,4,11,Loyal
289,2,4,2073,5,4,5,14,Loyal
290,99,2,1344,3,2,4,9,Potential Loyalists
291,5,2,377,5,2,1,8,Potential Loyalists
292,23,3,1227,5,3,4,12,Loyal
293,32,3,1146,5,3,3,11,Loyal
294,149,4,708,2,4,2,8,At Risk
296,219,2,1076,1,2,3,6,Lost
297,222,1,789,1,1,3,5,Lost
298,55,1,330,4,1,1,6,Potential Loyalists
299,22,2,470,5,2,1,8,Potential Loyalists
300,327,1,745,1,1,2,4,Lost
