customer_id,country,signup_date
274,Morocco,2023-06-12
275,France,2023-08-24
276,Morocco,2023-05-08
277,Germany,2023-07-19
278,Spain,2024-03-25
279,Spain,2024-01-25
280,Italy,2023-01-31
281,France,2023-05-18
282,France,2024-05-06
283,Italy,2023-01-21
284,Morocco,2023-08-22
285,Spain,2023-07-21
286,Spain,2023-10-06
287,France,2023-05-11
288,France,2024-02-20
289,Italy,2023-05-28
290,Germany,2024-04-02
291,Morocco,2023-01-29
292,Germany,2023-12-27
293,Germany,2023-11-04
294,France,2024-01-06
295,France,2024-03-05
296,France,2023-06-11
297,Germany,2023-12-23
298,Morocco,2023-12-06
299,France,2023-03-02
300,Spain,2023-05-05
